model,method,label,mass_bin,left_msun,right_msun,M0_mean_msun,M0_geomean_msun,n_halos_total,n_halos,selected_fraction,zhalf,zhalf_median,zhalf_q16,zhalf_q84,z_bk09_original,z_coco_hellwing16,dz_bk09_original,dz_coco_hellwing16
PL,gap_3,gap <= 3,3,251188643.15095794,398107170.5534973,315157121.8723327,312418132.88971585,51822,49690,0.958859171780325,2.4690835451829987,2.2584343177733452,1.2642181772454808,3.6406135051384974,2.573762509451478,2.706833980374258,-0.10467896426847956,-0.23775043519125916
PL,gap_3,gap <= 3,4,398107170.5534973,630957344.4801933,498939792.73721004,494490373.60894287,35056,33649,0.9598642172523961,2.407986775395661,2.2136932363352937,1.2461660375961832,3.507392722080144,2.4825122705125584,2.578819357651302,-0.07452549511689721,-0.1708325822556409
PL,gap_3,gap <= 3,5,630957344.4801933,999999999.9999999,790733162.822409,783771499.7266716,23258,22291,0.9584229082466248,2.3249078401885472,2.159929349223354,1.234906149983897,3.3688787266373432,2.393389247429564,2.454945247256064,-0.0684814072410167,-0.13003740706751676
PL,gap_3,gap <= 3,6,999999999.9999999,1584893192.461114,1251389968.3023317,1240426473.9446836,15701,15075,0.9601299280300618,2.2229943187315695,2.097952473088497,1.1963664137555594,3.182110659855679,2.3068124073617877,2.3357225545423543,-0.08381808863021822,-0.11272823581078484
PL,gap_3,gap <= 3,7,1584893192.461114,2511886431.5095806,1980125865.1338694,1963157236.593919,9949,9603,0.9652226354407478,2.1545164690332674,2.0274698796876396,1.171929209191574,3.07591624754452,2.222470581375925,2.220649486094062,-0.06795411234265769,-0.06613301706079477
PL,gap_3,gap <= 3,8,2511886431.5095806,3981071705.534973,3143152138.3894076,3115752047.8618946,6848,6592,0.9626168224299065,2.0784803117774273,1.961643493354702,1.1180425575851123,2.955227003758527,2.1397212587072003,2.108794445719201,-0.061240946929773,-0.030314133941773846
PL,gap_3,gap <= 3,9,3981071705.534973,6309573444.801932,4966130019.9921465,4923176634.350175,4496,4352,0.9679715302491103,2.011888566772831,1.9115345820642748,1.0946332591893515,2.8559662200907394,2.059897984109051,2.0018920942581317,-0.04800941733622022,0.00999647251469904
PL,gap_3,gap <= 3,10,6309573444.801932,10000000000.0,7884806772.540324,7816651051.720612,3000,2907,0.969,1.921463298885644,1.818517689523181,1.0297208472815504,2.77121277369233,1.9812845493651237,1.897583400015142,-0.059821250479479726,0.023879898870502014
PL,gap_3,gap <= 3,11,10000000000.0,15848931924.611141,12524058305.648539,12414130373.902657,1937,1864,0.9623128549303046,1.8223836546565,1.734655339979618,0.9854151499252943,2.5974439807407554,1.9046226369808212,1.7968099882836794,-0.08223898232432125,0.025573666372820547
PL,gap_3,gap <= 3,12,15848931924.611141,25118864315.095818,19841588159.588608,19666455714.478294,1310,1269,0.9687022900763359,1.7597594225762068,1.7271414633464817,0.9864130787049813,2.5069571392129673,1.8303439334272174,1.7000752234584477,-0.07058451085101058,0.05968419911775902
PL,gap_3,gap <= 3,13,25118864315.095818,39810717055.34974,31507512805.79039,31225425601.043434,844,823,0.9751184834123223,1.6839879106408946,1.6279995650060461,0.9133641724554991,2.39500664358596,1.7576049545701253,1.6062242435441667,-0.07361704392923074,0.07776366709672788
PL,gap_3,gap <= 3,14,39810717055.34974,63095734448.01936,49668301140.44566,49236154975.130844,598,584,0.9765886287625418,1.603406381838431,1.558449506335056,0.8857260521722161,2.27501913573961,1.687840545102378,1.5170416024460622,-0.08443416326394693,0.08636477939236875
PL,gap_3,gap <= 3,15,63095734448.01936,100000000000.0,78429542508.88393,77755878422.03375,359,351,0.9777158774373259,1.5276272659837202,1.4867081666306254,0.7875410862164609,2.2047273106104672,1.619591422084441,1.4305959223962903,-0.09196415610072073,0.09703134358742993
PL,gap_3,gap <= 3,16,100000000000.0,158489319246.11142,125285679316.49841,124216687587.43933,271,263,0.9704797047970479,1.479353672398105,1.4737042520484869,0.9295310352087958,1.985879965054044,1.5514138875830548,1.3450440286083936,-0.07206021518494987,0.13430964378971133
PL,gap_3,gap <= 3,17,158489319246.11142,251188643150.9582,194762515447.3585,193252604621.81393,153,149,0.9738562091503268,1.403139032570088,1.4166448489025385,0.7631378448124496,1.9092395910169582,1.4888207165712712,1.267218096909041,-0.08568168400118314,0.13592093566104713
PL,gap_3,gap <= 3,18,251188643150.9582,398107170553.4973,310657150424.98303,308142078996.11237,106,104,0.9811320754716981,1.3569107310240358,1.418154450426529,0.6123554762396131,1.9327800405046487,1.424249560161169,1.1876655962522915,-0.0673388291371333,0.1692451347717443
PL,gap_3,gap <= 3,19,398107170553.4973,630957344480.1936,501579399094.2142,497691210832.2192,80,78,0.975,1.2320835111835642,1.1427572685276361,0.5007207911975033,1.8418274782923503,1.359737211565518,1.1089412149305682,-0.12765370038195378,0.123142296252996
PL,gap_3,gap <= 3,20,630957344480.1936,1000000000000.0,821848258098.5312,815968145434.4486,53,51,0.9622641509433962,1.2373764147000745,1.296269861963905,0.7088059021894022,1.652856210164589,1.295038611468263,1.0307614016931486,-0.05766219676818851,0.20661501300692597
PL,gap_5,gap <= 5,1,100000000.0,158489319.24611133,125159647.73984922,124058332.101879,111004,100834,0.9083816799394616,2.5661004638097924,2.3072288063241126,1.2209930581787487,3.8771878611188004,2.7644845912551586,2.9781800874971984,-0.19838412744536615,-0.412079623687406
