model,model_label,snap_current,snap_next,z_current,z_next,z_mid,dt_yr,mass_bin_left_msun,mass_bin_right_msun,mass_bin_center_msun,n_halos,mean_mass_current_msun,median_mass_current_msun,mean_dM200c_dt_msun_yr,median_dM200c_dt_msun_yr,std_dM200c_dt_msun_yr,sem_dM200c_dt_msun_yr,p16_dM200c_dt_msun_yr,p84_dM200c_dt_msun_yr,negative_fraction,correa2015_mean_dMdt_msun_yr,mean_over_correa
BT_soft,BT kp=1,46,47,1.506874200677888,1.2789765460708074,1.3929253733743476,619595835.9472761,100000000.0,316000000.0,177763888.34631178,132690,242328782.93936127,237436834.72275734,0.011396187719216832,0.008235811822967311,0.05079857624189185,0.0001394544712013416,-0.015341276634595549,0.034438357748529984,0.34928781370110784,0.05807215835216177,0.19624184880658224
BT_soft,BT kp=1,46,47,1.506874200677888,1.2789765460708074,1.3929253733743476,619595835.9472761,316000000.0,1000000000.0,562138772.9022079,148228,538455966.8790559,487826969.47455406,0.04038553916721415,0.020889423153685475,3.4451002510271813,0.008948221787017702,-0.02201176999623136,0.07443776954836484,0.2935882559300537,0.1290366740383932,0.3129772172769887
BT_soft,BT kp=1,46,47,1.506874200677888,1.2789765460708074,1.3929253733743476,619595835.9472761,1000000000.0,3160000000.0,1777638883.4631178,53370,1699134172.2501292,1540941819.5486069,0.12898519640132436,0.07896706517075165,0.4125267671930674,0.0017856795787614533,-0.04528379805679621,0.2549428616031531,0.23664980326025858,0.4071839404119399,0.3167737810848645
BT_soft,BT kp=1,46,47,1.506874200677888,1.2789765460708074,1.3929253733743476,619595835.9472761,3160000000.0,10000000000.0,5621387729.0220785,18805,5382486367.805687,4874069392.681122,0.5026955332436284,0.3014864752078067,1.3855024183691746,0.010103471466368738,-0.11817227413246968,0.9381707925336115,0.21164583887264027,1.2898698903538004,0.3897257676940914
BT_soft,BT kp=1,46,47,1.506874200677888,1.2789765460708074,1.3929253733743476,619595835.9472761,10000000000.0,31600000000.0,17776388834.631176,6438,16933705431.032196,15363650918.006897,2.0090303338200393,1.1232405334292626,4.682352789002922,0.05835642063960875,-0.2667452377786632,3.6722878541771182,0.19695557626592108,4.058027326971873,0.49507560495389547
BT_soft,BT kp=1,46,47,1.506874200677888,1.2789765460708074,1.3929253733743476,619595835.9472761,31600000000.0,100000000000.0,56213877290.22079,2192,52875169202.359055,47942869663.238525,7.30620588160299,3.9551968720406308,16.509112816445207,0.3526171739209971,-1.2689467021842704,13.349407003739376,0.20666058394160583,12.671112203724896,0.5766033607890555
BT_soft,BT kp=1,46,47,1.506874200677888,1.2789765460708074,1.3929253733743476,619595835.9472761,100000000000.0,316000000000.0,177763888346.31177,749,166873173732.78305,148101129531.86035,28.516413268703424,15.48992369089173,61.0415319906245,2.230409036397308,-5.735753572500486,51.89364457385398,0.22696929238985314,39.98982395815074,0.7130917430030647
BT_soft,BT kp=1,46,47,1.506874200677888,1.2789765460708074,1.3929253733743476,619595835.9472761,316000000000.0,1000000000000.0,562138772902.2078,212,532840950084.1825,477993507385.2539,103.35860629854147,47.80495487236128,217.58662543456492,14.943910788692001,-18.664394977753638,188.4539311300821,0.24056603773584906,127.69108008745289,0.8094426504009001
BT_soft,BT kp=1,47,48,1.2789765460708074,1.0717968600643704,1.1753867030675889,699053818.7873163,100000000.0,316000000.0,177763888.34631178,127687,242355154.72715172,237521771.34156227,0.013121193680468442,0.006214947177049956,1.7305373298614726,0.004842923739189627,-0.013871967374046243,0.027739221739377835,0.36390548763773917,0.04606740246489051,0.2848259936181237
BT_soft,BT kp=1,47,48,1.2789765460708074,1.0717968600643704,1.1753867030675889,699053818.7873163,316000000.0,1000000000.0,562138772.9022079,142725,538538529.1270791,488127395.5106735,0.02333311974462161,0.015957563258263512,0.10040547621241012,0.0002657708677915813,-0.020202673164734317,0.059565481076658294,0.307780697144859,0.10236659167442862,0.22793686263220847
BT_soft,BT kp=1,47,48,1.2789765460708074,1.0717968600643704,1.1753867030675889,699053818.7873163,1000000000.0,3160000000.0,1777638883.4631178,51605,1699964379.3700104,1540290564.2986298,0.09433385595867358,0.06094169667428728,0.3421342740506138,0.0015060891906946627,-0.04440769898380913,0.19728207692301614,0.2503633368859607,0.32313297948451863,0.2919350915810595
BT_soft,BT kp=1,47,48,1.2789765460708074,1.0717968600643704,1.1753867030675889,699053818.7873163,3160000000.0,10000000000.0,5621387729.0220785,18244,5371690497.98828,4882327616.214752,0.38623199254315554,0.23524009915327565,1.1326607159930169,0.008385709364732334,-0.10917959453142682,0.7316182100034597,0.22210041657531243,1.0210627802253653,0.3782646865826485
BT_soft,BT kp=1,47,48,1.2789765460708074,1.0717968600643704,1.1753867030675889,699053818.7873163,10000000000.0,31600000000.0,17776388834.631176,6293,16981537547.036493,15442308187.484741,1.584090157897082,0.8742296501571469,4.007287170475484,0.05051514455525836,-0.29749407992027543,2.8075560117381535,0.20959796599396155,3.2278881195355766,0.49075125879053033
