model,label,method,method_label,mass_bin,mass_bin_left_msun,mass_bin_right_msun,M0_mean_msun,M0_geomean_msun,snap_left,snap_right,z_left,z_right,z_mid,a_mid,n_halos,Gamma_median,Gamma_q16,Gamma_q84,Gamma_mean,negative_fraction,particle_mass_code,particle_mass_msun
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,127402080.6731879,126289628.8459347,35,36,6.152404662070242,5.502186056427491,5.819550268429738,0.1466372356883086,63078,0.8874424553589728,0.0,2.832131289167773,1.387532038717051,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,126927282.66930524,125812246.6811664,36,37,5.502186056427491,4.9110782331159015,5.199591153117943,0.1613009592571395,80356,0.7933444196187709,0.0,2.685380728841505,1.3123473477817695,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,126494403.07530096,125376953.1493657,37,38,4.9110782331159015,4.373707484650818,4.635991957379948,0.1774310551828535,97242,0.9044679340895424,0.0,2.9016534647443706,1.4280230037200932,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,126111869.22495791,124995812.910951,38,39,4.373707484650818,3.885188622409834,4.123629052163588,0.1951741607011388,113112,0.6480783253253294,0.0,2.5451853701917075,1.2192303288492834,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,125732501.282746,124616380.46688557,39,40,3.885188622409834,3.4410805658271224,3.657844592875989,0.2146915767712527,127191,0.4981402854905469,0.0,2.34259113450907,1.123380616597629,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,125442243.42685416,124328090.02187148,40,41,3.4410805658271224,3.0373459689337468,3.234404175341808,0.236160734448378,138775,0.402366873829842,0.0,2.180202811388785,1.043195965329094,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,125184723.06944484,124073168.56580862,41,42,3.0373459689337468,2.670314517212497,2.849458341219825,0.2597768078932159,147722,0.6627869551239449,0.0,2.4801330999066185,1.228564107861937,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,124993135.3986162,123883073.83042996,42,43,2.670314517212497,2.3366495611022704,2.4995075829271136,0.2857544886825375,154313,0.374513997039452,0.0,2.035533769783944,0.9870724420022446,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,124815604.871295,123706522.515133,43,44,2.3366495611022704,2.0333177828202462,2.1813705299337403,0.3143299375507912,159166,0.235395295957289,0.0,1.8101548563665557,0.8750514005840571,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,124678182.99447222,123569683.21333924,44,45,2.0333177828202462,1.757561620745676,1.8921550272124896,0.3457629313058704,162316,0.0976460841799262,0.0,1.6260398061473988,0.7927145356962757,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,124583806.19708346,123475422.9674976,45,46,1.757561620745676,1.506874200677888,1.6292318429204444,0.3803392244364576,163956,0.4657418391218134,0.0,1.952896865604357,1.0007252077076698,0.0,0.0001890437561087,1890437.5610873103
