model,label,mass_bin,mass_bin_left_msun,mass_bin_right_msun,M0_mean_msun,M0_geomean_msun,snapshot,redshift,scale_factor,n_halos,M_over_M0_median,M_over_M0_q16,M_over_M0_q84,M_over_M0_mean,particle_mass_code,particle_mass_msun
PL,PL,18,251188643150.9582,398107170553.4973,311308590158.046,308756896626.35986,43,2.3366495611022704,0.29970183613458273,106,0.27801125735274396,0.1670073363148133,0.4258933734773532,0.29295289814043857,0.00018904375610873103,1890437.5610873103
PL,PL,19,398107170553.4973,630957344480.1936,501579399094.2142,497691210832.2192,43,2.3366495611022704,0.29970183613458273,78,0.23977935869698414,0.1475663512920005,0.3532924755417136,0.2596519728260203,0.00018904375610873103,1890437.5610873103
PL,PL,20,630957344480.1936,1000000000000.0,819532419860.5974,813799602531.173,43,2.3366495611022704,0.29970183613458273,53,0.23421940003041658,0.13575221549560582,0.34044852904222783,0.24185678419268206,0.00018904375610873103,1890437.5610873103
PL,PL,1,100000000.0,158489319.24611133,125167706.65255274,124061185.92087787,44,2.0333177828202462,0.32967201974804095,95126,0.5829679172638648,0.38453252454941045,0.8630559943346772,0.676757698384177,0.00018904375610873103,1890437.5610873103
PL,PL,2,158489319.24611133,251188643.15095794,198558657.5456396,196770158.4818075,44,2.0333177828202462,0.32967201974804095,73005,0.549061774867953,0.33992613886176626,0.8091151487760702,0.6247129831364334,0.00018904375610873103,1890437.5610873103
PL,PL,3,251188643.15095794,398107170.5534973,315330985.9175947,312588994.9603834,44,2.0333177828202462,0.32967201974804095,50376,0.5337178895912584,0.3216795189976361,0.7742067021258968,0.5968398023841915,0.00018904375610873103,1890437.5610873103
PL,PL,4,398107170.5534973,630957344.4801933,499019512.09414214,494568560.71949697,44,2.0333177828202462,0.32967201974804095,34400,0.5233425005729979,0.31542713571869857,0.7470151563068457,0.5786970897283031,0.00018904375610873103,1890437.5610873103
PL,PL,5,630957344.4801933,999999999.9999999,790443187.4809635,783501795.6210108,44,2.0333177828202462,0.32967201974804095,22888,0.5147929527557288,0.3117638203858403,0.7226427263129102,0.5667447960245943,0.00018904375610873103,1890437.5610873103
PL,PL,6,999999999.9999999,1584893192.461114,1251395431.0557077,1240440766.288098,44,2.0333177828202462,0.32967201974804095,15485,0.5054200047599712,0.30230303799084485,0.6933587823087777,0.5419962822343283,0.00018904375610873103,1890437.5610873103
PL,PL,7,1584893192.461114,2511886431.5095806,1980474142.9789789,1963444538.303453,44,2.0333177828202462,0.32967201974804095,9847,0.4934780269785798,0.29854780136897763,0.6819316894884543,0.5298002200775908,0.00018904375610873103,1890437.5610873103
PL,PL,8,2511886431.5095806,3981071705.534973,3143560035.547962,3116138514.424282,44,2.0333177828202462,0.32967201974804095,6779,0.4813106492031734,0.29368942705851386,0.6648168719049672,0.5181684692931278,0.00018904375610873103,1890437.5610873103
PL,PL,9,3981071705.534973,6309573444.801932,4966346908.21386,4923360558.048153,44,2.0333177828202462,0.32967201974804095,4462,0.4699659658872727,0.28066161006185975,0.6464653822683754,0.49964389041323615,0.00018904375610873103,1890437.5610873103
PL,PL,10,6309573444.801932,10000000000.0,7879842183.446709,7811605098.810508,44,2.0333177828202462,0.32967201974804095,2982,0.4446532486455881,0.27221543390786074,0.6204812161265484,0.47215772630731623,0.00018904375610873103,1890437.5610873103
PL,PL,11,10000000000.0,15848931924.611141,12522014796.401098,12412602236.887867,44,2.0333177828202462,0.32967201974804095,1920,0.43622834984446623,0.2561802303324996,0.5996190800851651,0.45581296938729765,0.00018904375610873103,1890437.5610873103
PL,PL,12,15848931924.611141,25118864315.095818,19834812059.16697,19660068222.04432,44,2.0333177828202462,0.32967201974804095,1302,0.42271165005112893,0.2583605275688855,0.5897260861166552,0.4395385409252678,0.00018904375610873103,1890437.5610873103
PL,PL,13,25118864315.095818,39810717055.34974,31514494431.65401,31233103737.100647,44,2.0333177828202462,0.32967201974804095,837,0.40823536066532856,0.24134925826217324,0.5682411727921332,0.41962152918890827,0.00018904375610873103,1890437.5610873103
PL,PL,14,39810717055.34974,63095734448.01936,49679747780.873924,49250580520.75361,44,2.0333177828202462,0.32967201974804095,594,0.3880650539476763,0.22661257474708704,0.5514648552699083,0.4002201396152489,0.00018904375610873103,1890437.5610873103
PL,PL,15,63095734448.01936,100000000000.0,78424568598.5091,77754169414.1475,44,2.0333177828202462,0.32967201974804095,359,0.37456974593048087,0.22192449201538614,0.5437085706455452,0.39675273051161836,0.00018904375610873103,1890437.5610873103
PL,PL,16,100000000000.0,158489319246.11142,125275308278.87186,124217305417.06973,44,2.0333177828202462,0.32967201974804095,270,0.33892895620635294,0.2185844340628729,0.49055263111963165,0.35597814451524623,0.00018904375610873103,1890437.5610873103
PL,PL,17,158489319246.11142,251188643150.9582,194939165673.81696,193421018747.4252,44,2.0333177828202462,0.32967201974804095,153,0.3382946897144028,0.21297956175340163,0.4807208245603761,0.3495220599311163,0.00018904375610873103,1890437.5610873103
PL,PL,18,251188643150.9582,398107170553.4973,310918866881.1803,308369785381.4679,44,2.0333177828202462,0.32967201974804095,105,0.3433884160584463,0.1861058407738203,0.46779251796215077,0.33063517380766466,0.00018904375610873103,1890437.5610873103
PL,PL,19,398107170553.4973,630957344480.1936,503061114384.0762,499063548614.71545,44,2.0333177828202462,0.32967201974804095,79,0.3008924940092913,0.19302112185535095,0.46064767444721844,0.3203420089075691,0.00018904375610873103,1890437.5610873103
PL,PL,20,630957344480.1936,1000000000000.0,820052948349.0503,814215464633.1265,44,2.0333177828202462,0.32967201974804095,52,0.28537704307003275,0.19075548009426022,0.4136518096725901,0.296995900626669,0.00018904375610873103,1890437.5610873103
PL,PL,1,100000000.0,158489319.24611133,124960664.33939768,123854444.41694671,45,1.7575616207456761,0.36263922172284535,99191,0.6255345816839408,0.41414752156332835,0.8980217771902668,0.7113883938983367,0.00018904375610873103,1890437.5610873103
PL,PL,2,158489319.24611133,251188643.15095794,198422037.3805141,196631981.84026292,45,1.7575616207456761,0.36263922172284535,73946,0.600408441494179,0.3785305765009478,0.8545917225676282,0.6701909228182253,0.00018904375610873103,1890437.5610873103
PL,PL,3,251188643.15095794,398107170.5534973,315261407.87724024,312520811.6900857,45,1.7575616207456761,0.36263922172284535,50434,0.5874512493821846,0.36785397046724505,0.8215208489265622,0.645191798613851,0.00018904375610873103,1890437.5610873103
PL,PL,4,398107170.5534973,630957344.4801933,499025221.2914794,494571388.826255,45,1.7575616207456761,0.36263922172284535,34341,0.5775687506810676,0.36238235123895873,0.7934054055494989,0.6268789499894114,0.00018904375610873103,1890437.5610873103
PL,PL,5,630957344.4801933,999999999.9999999,790540715.409903,783587285.8974857,45,1.7575616207456761,0.36263922172284535,22828,0.5693593904930475,0.3606587518833653,0.7756074431402161,0.6176000321170652,0.00018904375610873103,1890437.5610873103
PL,PL,6,999999999.9999999,1584893192.461114,1251466467.6965559,1240516270.1303506,45,1.7575616207456761,0.36263922172284535,15441,0.5592951947280942,0.3503554486911548,0.7470246217514998,0.5968357571042107,0.00018904375610873103,1890437.5610873103
PL,PL,7,1584893192.461114,2511886431.5095806,1980575866.5684698,1963563962.1116877,45,1.7575616207456761,0.36263922172284535,9823,0.5480031994375859,0.34736386726635926,0.7312177013632181,0.5826618203943335,0.00018904375610873103,1890437.5610873103
