model,snapshot,redshift,log10_M_FOF_Msun,dn_dlog10M,poisson_err,source_file
BT_deep,0030,10.51901923,8.5784089431e+00,2.3740529670e+00,1.6692213532e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,8.7441068690e+00,1.3228174308e+00,1.2460018413e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,8.9115923706e+00,7.2590061305e-01,9.2301192329e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,9.0752634249e+00,3.8037896312e-01,6.6815461849e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,9.2437623498e+00,1.9294755179e-01,4.7587004288e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,9.4097082851e+00,1.0234201044e-01,3.4657377885e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,9.5751153486e+00,5.0232087693e-02,2.4280596047e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,9.7383613478e+00,2.3355573484e-02,1.6556327075e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,9.9102221409e+00,1.1149645633e-02,1.1439295053e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,1.0080504446e+01,5.5161404710e-03,8.0461178290e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,1.0246155745e+01,1.7604703631e-03,4.5455149318e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,1.0422138712e+01,1.0562822179e-03,3.5209407262e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,1.0612886162e+01,4.6945876349e-04,2.3472938174e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,1.0765908808e+01,2.3472938174e-04,1.6597873758e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,1.0916666667e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,1.1083333333e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,1.1250000000e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,1.1416666667e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,1.1583333333e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,1.1750000000e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,1.1916666667e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,1.2083333333e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,1.2250000000e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,1.2416666667e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,1.2583333333e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,1.2750000000e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,1.2916666667e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0032,8.519850605,8.0777659307e+00,1.9310599413e+01,4.7606538738e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0032_fof_reed07_input.npz
BT_deep,0032,8.519850605,8.2459311669e+00,1.1817802818e+01,3.7242351893e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0032_fof_reed07_input.npz
