model,snapshot,redshift,reference_model,log10_M_FOF_Msun,dn_dlog10M,poisson_err,reed07_dndlog10M_interp,sim_over_reed07,sim_over_reed07_minus_1,ratio_err,residual_err,source_file
PL,0040,3.4410805658e+00,Reed07_FOF,1.0578572811e+01,6.7484697252e-02,2.8143064210e-03,6.7174965131e-02,1.0046108267e+00,4.6108266721e-03,4.1895167576e-02,4.1895167576e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,1.0748263731e+01,4.1429735878e-02,2.2050823441e-03,4.3870713790e-02,9.4435974023e-01,-5.5640259774e-02,5.0263197327e-02,5.0263197327e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,1.0909741197e+01,2.9810631482e-02,1.8704853778e-03,2.8913764631e-02,1.0310186813e+00,3.1018681306e-02,6.4691865679e-02,6.4691865679e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,1.1082237605e+01,1.8308891776e-02,1.4658845192e-03,1.8267078871e-02,1.0022889760e+00,2.2889759839e-03,8.0247341652e-02,8.0247341652e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,1.1244536728e+01,1.0445457488e-02,1.1072162793e-03,1.1668195383e-02,8.9520762595e-01,-1.0479237405e-01,9.4891818567e-02,9.4891818567e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,1.1422833743e+01,7.9807989793e-03,9.6781403437e-04,6.9921721848e-03,1.1413905105e+00,1.4139051048e-01,1.3841393043e-01,1.3841393043e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,1.1575759639e+01,3.9903994897e-03,6.8434786663e-04,4.4281845493e-03,9.0113667243e-01,-9.8863327570e-02,1.5454366434e-01,1.5454366434e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,1.1736022099e+01,3.1688466536e-03,6.0984482282e-04,2.6825215261e-03,1.1812940261e+00,1.8129402605e-01,2.2734014131e-01,2.2734014131e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,1.1897882679e+01,2.2299291266e-03,5.1158082705e-04,1.5793273053e-03,1.4119486943e+00,4.1194869430e-01,3.2392324589e-01,3.2392324589e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,1.2063560304e+01,8.2155283611e-04,3.1051778475e-04,8.9177429754e-04,9.2125646408e-01,-7.8743535923e-02,3.4820221395e-01,3.4820221395e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
