dataset,model,z,snap,box,x,y
power,PL,14.331814598205613,27,25,11.062453457041169,0.0018164275729591842
power,PL,14.331814598205613,27,25,11.314786957671013,0.0017406110337069172
power,PL,14.331814598205613,27,25,11.565937880035426,0.0016432637876972744
power,PL,14.331814598205613,27,25,11.814085010948824,0.0015483138157375291
power,PL,14.331814598205613,27,25,12.064293330625782,0.0014777844623040826
power,PL,14.331814598205613,27,25,12.317521238569554,0.0014108336933640897
power,PL,14.331814598205613,27,25,12.571032385248238,0.0013649395758993414
power,PL,14.331814598205613,27,25,12.821843069043268,0.0012958866883660484
power,PL,14.331814598205613,27,25,13.072502986326512,0.0012243219154002042
power,PL,14.331814598205613,27,25,13.324942706400424,0.0011932340245701467
power,PL,14.331814598205613,27,25,13.576176707479814,0.0011468780592648704
power,PL,14.331814598205613,27,25,13.82555646698322,0.0010934207347391993
power,PL,14.331814598205613,27,25,14.075222265910044,0.0010408584615933035
power,PL,14.331814598205613,27,25,14.32811852917941,0.0009971926123955898
power,PL,14.331814598205613,27,25,14.580461685752585,0.0009590384855834727
power,PL,14.331814598205613,27,25,14.830552404971625,0.0009247430104567444
power,PL,14.331814598205613,27,25,15.08215309851155,0.0008798425792446122
power,PL,14.331814598205613,27,25,15.334342820333537,0.0008514205298045123
power,PL,14.331814598205613,27,25,15.5860439155924,0.000808336771343058
power,PL,14.331814598205613,27,25,15.835068837290374,0.0007857671879746367
power,PL,14.331814598205613,27,25,16.08449366682584,0.000763038349170126
power,PL,14.331814598205613,27,25,16.338138266722677,0.0007315657552547907
power,PL,14.331814598205613,27,25,16.590773181146194,0.0007025277829900573
power,PL,14.331814598205613,27,25,16.842164585753792,0.0006782713337274225
power,PL,14.331814598205613,27,25,17.093141526529084,0.0006550553863996072
power,PL,14.331814598205613,27,25,17.344842926726773,0.0006301602841594648
power,PL,14.331814598205613,27,25,17.59671504894166,0.0006112674608583219
power,PL,14.331814598205613,27,25,17.84592583282211,0.0005916882813467987
power,PL,14.331814598205613,27,25,18.096741808972432,0.0005720785306124747
power,PL,14.331814598205613,27,25,18.348607136620142,0.0005596755373017237
power,PL,14.331814598205613,27,25,18.60101336990868,0.0005461211606750892
power,PL,14.331814598205613,27,25,18.852551541782248,0.0005214458256004797
power,PL,14.331814598205613,27,25,19.10320472609246,0.0005101014829111759
power,PL,14.331814598205613,27,25,19.355236149567805,0.0004834957123463721
power,PL,14.331814598205613,27,25,19.605996073418613,0.0004678271577499739
power,PL,14.331814598205613,27,25,19.855971980449656,0.00046094842197781974
power,PL,14.331814598205613,27,25,20.106635831090703,0.00044808497797282296
power,PL,14.331814598205613,27,25,20.35857305190006,0.00043258984565740645
power,PL,14.331814598205613,27,25,20.610988701236806,0.00042463281450483113
power,PL,14.331814598205613,27,25,20.862646236697852,0.0004104579685387756
power,PL,14.331814598205613,27,25,21.11314497992686,0.0003964996115732944
power,PL,14.331814598205613,27,25,21.36464071217916,0.00038970896193572357
power,PL,14.331814598205613,27,25,21.617216570183352,0.00037760313694517266
power,PL,14.331814598205613,27,25,21.867907000228907,0.00036929600616914193
power,PL,14.331814598205613,27,25,22.118380934686936,0.00035512024779888986
power,PL,14.331814598205613,27,25,22.369760043372604,0.0003503975622243938
power,PL,14.331814598205613,27,25,22.622182780751523,0.0003409104735758645
power,PL,14.331814598205613,27,25,22.874179927983825,0.0003333794458551043
power,PL,14.331814598205613,27,25,23.124905045653037,0.00032358933952570794
power,PL,14.331814598205613,27,25,23.376218733652543,0.00031929284385183085
power,PL,14.331814598205613,27,25,23.62677019857868,0.0003083802843966586
power,PL,14.331814598205613,27,25,23.87663985612261,0.0002980630041982311
power,PL,14.331814598205613,27,25,24.12683364571325,0.00029287021636201964
power,PL,14.331814598205613,27,25,24.37875191845385,0.00028246154930150664
power,PL,14.331814598205613,27,25,24.63247310093604,0.0002780077996926375
power,PL,14.331814598205613,27,25,24.884090136607472,0.00027097077816751376
power,PL,14.331814598205613,27,25,25.1346414659627,0.0002645256089480764
power,PL,14.331814598205613,27,25,25.385845831243543,0.00025865414013137545
