dataset,model,z,snap,x,y,err,lo,hi,count,theory,reference,particleMass,mass50
hmf.fof,PL,1.0717968600643704,48,3824111124.0581756,0.6547776103764867,0.008766286091152334,0.6460113242853344,0.6635438964676391,,,,,
hmf.fof,PL,1.0717968600643704,48,5582663279.419897,0.45443608305749356,0.007303064453313792,0.44713301860417975,0.46173914751080736,,,,,
hmf.fof,PL,1.0717968600643704,48,8216836972.596935,0.3164152065916846,0.006093929184764437,0.31032127740692017,0.322509135776449,,,,,
hmf.fof,PL,1.0717968600643704,48,12088428480.96031,0.23038688818229852,0.005199931337291245,0.22518695684500728,0.23558681951958976,,,,,
hmf.fof,PL,1.0717968600643704,48,17688732655.195175,0.15914652082282058,0.004321826259785353,0.15482469456303521,0.16346834708260594,,,,,
hmf.fof,PL,1.0717968600643704,48,26047252770.778862,0.11396111483699026,0.0036571862154263506,0.11030392862156391,0.11761830105241661,,,,,
hmf.fof,PL,1.0717968600643704,48,38123316400.64757,0.07922116633879343,0.0030492241140812337,0.0761719422247122,0.08227039045287467,,,,,
hmf.fof,PL,1.0717968600643704,48,56253719515.39017,0.05433985187386868,0.0025253870826513784,0.051814464791217305,0.056865238956520056,,,,,
hmf.fof,PL,1.0717968600643704,48,81072904271.77228,0.03708724231564255,0.0020863203804020545,0.0350009219352405,0.039173562696044606,,,,,
hmf.fof,PL,1.0717968600643704,48,120574479176.88943,0.0279327964276042,0.0018106142653597638,0.026122182162244437,0.029743410692963965,,,,,
hmf.fof,PL,1.0717968600643704,48,179107381229.63467,0.01983463275741643,0.0015257409813397252,0.018308891776076704,0.021360373738756155,,,,,
hmf.fof,PL,1.0717968600643704,48,261430767802.31183,0.013496939450312955,0.0012585960933945207,0.012238343356918435,0.014755535543707475,,,,,
hmf.fof,PL,1.0717968600643704,48,375938326142.8964,0.008684987124549206,0.0010096092457493179,0.007675377878799888,0.009694596370298524,,,,,
hmf.fof,PL,1.0717968600643704,48,563903213264.9637,0.007276610834081767,0.0009241305000593466,0.006352480334022421,0.008200741334141113,,,,,
hmf.fof,PL,1.0717968600643704,48,815738556802.637,0.0044598582531468894,0.0007234845438672485,0.003736373709279641,0.0051833427970141375,,,,,
hmf.fof,PL,1.0717968600643704,48,1209061921661.119,0.0039903994896577435,0.0006843478666296924,0.003306051623028051,0.004674747356287436,,,,,
hmf.fof,PL,1.0717968600643704,48,1805865821055.645,0.0024646585083180177,0.0005378325798373459,0.0019268259284806718,0.0030024910881553636,,,,,
hmf.fof,PL,1.0717968600643704,48,2640845833903.678,0.0015257409813397252,0.0004231644108690096,0.0011025765704707157,0.0019489053922087348,,,,,
hmf.fof,PL,1.0717968600643704,48,3745413391324.561,0.0012910115995951523,0.0003892546432594237,0.0009017569563357286,0.001680266242854576,,,,,
hmf.fof,PL,1.0717968600643704,48,5663490784854.031,0.0005868234543614328,0.00026243542694868186,0.00032438802741275094,0.0008492588813101146,,,,,
hmf.fof,PL,1.0717968600643704,48,7877853459181.528,0.0010562822178505791,0.0003520940726168597,0.0007041881452337195,0.0014083762904674388,,,,,
