model,snapshot,redshift,box_size_mpc,particle_mass_msun,log10_M_FOF_Msun,dn_dlog10M,poisson_err,counts,log10_bin_left,log10_bin_right,source_fof_file
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.2063681266e+01,3.1688466536e-03,6.0984482282e-04,27,1.2000000000e+01,1.2166666667e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.2239469330e+01,2.8167525809e-03,5.7496721291e-04,24,1.2166666667e+01,1.2333333333e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.2410397998e+01,1.1736469087e-03,3.7113974004e-04,10,1.2333333333e+01,1.2500000000e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.2584105482e+01,1.1736469087e-03,3.7113974004e-04,10,1.2500000000e+01,1.2666666667e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.2761991277e+01,1.0562822179e-03,3.5209407262e-04,9,1.2666666667e+01,1.2833333333e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.2917287303e+01,5.8682345436e-04,2.6243542695e-04,5,1.2833333333e+01,1.3000000000e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.3102368347e+01,5.8682345436e-04,2.6243542695e-04,5,1.3000000000e+01,1.3166666667e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.3263600729e+01,9.3891752698e-04,3.3195747515e-04,8,1.3166666667e+01,1.3333333333e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.3396366779e+01,3.5209407262e-04,2.0328160761e-04,3,1.3333333333e+01,1.3500000000e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.3554056851e+01,2.3472938174e-04,1.6597873758e-04,2,1.3500000000e+01,1.3666666667e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.3819736061e+01,1.1736469087e-04,1.1736469087e-04,1,1.3666666667e+01,1.3833333333e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.3916666667e+01,0.0000000000e+00,0.0000000000e+00,0,1.3833333333e+01,1.4000000000e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.4083333333e+01,0.0000000000e+00,0.0000000000e+00,0,1.4000000000e+01,1.4166666667e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.4250000000e+01,0.0000000000e+00,0.0000000000e+00,0,1.4166666667e+01,1.4333333333e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.4416666667e+01,0.0000000000e+00,0.0000000000e+00,0,1.4333333333e+01,1.4500000000e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-256,0056,-2.220446049e-16,37.11401427,1.2098800391e+08,7.0833333333e+00,0.0000000000e+00,0.0000000000e+00,0,7.0000000000e+00,7.1666666667e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_256/fof_output_0056.hdf5
PL-25-256,0056,-2.220446049e-16,37.11401427,1.2098800391e+08,7.2500000000e+00,0.0000000000e+00,0.0000000000e+00,0,7.1666666667e+00,7.3333333333e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_256/fof_output_0056.hdf5
PL-25-256,0056,-2.220446049e-16,37.11401427,1.2098800391e+08,7.4166666667e+00,0.0000000000e+00,0.0000000000e+00,0,7.3333333333e+00,7.5000000000e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_256/fof_output_0056.hdf5
PL-25-256,0056,-2.220446049e-16,37.11401427,1.2098800391e+08,7.5833333333e+00,0.0000000000e+00,0.0000000000e+00,0,7.5000000000e+00,7.6666666667e+00,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_256/fof_output_0056.hdf5
