box_hinv_Mpc,redshift,k_hMpc,P_mesh512_over_mesh1024,n_raw_shells,k_bin_left_hMpc,k_bin_right_hMpc,k_over_kNy1024,inferred_mesh1024_fractional_error_dx2
25.0,-2.220446049250313e-16,5.532963676549,0.995951667392862,3.0,5.153794674257026,5.847156990032982,0.042997974563998044,0.0013494442023793314
25.0,-2.220446049250313e-16,6.284156099898396,0.9946825505910477,3.0,5.847156990032982,6.633800340720846,0.04883566926073809,0.0017724831363174303
25.0,-2.220446049250313e-16,7.041358990269291,0.993295557923227,3.0,6.633800340720846,7.526274227896147,0.05472007272392161,0.002234814025591003
25.0,-2.220446049250313e-16,7.916032318937552,0.9913731032397421,4.0,7.526274227896147,8.538816491926342,0.06151736685713429,0.0028756322534192837
25.0,-2.220446049250313e-16,9.045423690007606,0.9886463600525612,5.0,8.538816491926342,9.68758045149977,0.07029413538209191,0.003784546649146255
25.0,-2.220446049250313e-16,10.301934540342621,0.9852778995411261,5.0,9.68758045149977,10.99089260121906,0.08005877956565727,0.004907366819624633
25.0,-2.220446049250313e-16,11.682003501867763,0.9812206587809705,6.0,10.99089260121906,12.469544978367685,0.0907836231708538,0.006259780406343156
25.0,-2.220446049250313e-16,13.314442330475858,0.9757839903497818,7.0,12.469544978367685,14.14712686304373,0.10346969293980504,0.008072003216739398
25.0,-2.220446049250313e-16,15.074012680399335,0.9692385699184142,7.0,14.14712686304373,16.05040110334906,0.1171437319489973,0.010253810027195276
25.0,-2.220446049250313e-16,17.080205521839,0.9607344107671345,9.0,16.05040110334906,18.209731069235875,0.1327343329016681,0.013088529744288499
25.0,-2.220446049250313e-16,19.466506462657335,0.9499005661854227,10.0,18.209731069235875,20.659565046303054,0.15127884415342974,0.016699811271525755
25.0,-2.220446049250313e-16,22.104898744628773,0.9359781858753282,11.0,20.659565046303054,23.43898579718768,0.17178241707780767,0.021340604708223927
25.0,-2.220446049250313e-16,24.99348859010257,0.9186346923011198,12.0,23.43898579718768,26.592334057830335,0.19423033467898973,0.027121769232960058
25.0,-2.220446049250313e-16,28.380669788506452,0.8965419142735349,15.0,26.592334057830335,30.16991591539301,0.22055292407712976,0.03448602857548836
25.0,-2.220446049250313e-16,32.27622044330993,0.8706457672332126,16.0,30.16991591539301,34.22880535279156,0.2508261732361553,0.043118077588929125
25.0,-2.220446049250313e-16,36.54618262068744,0.8424853970392254,18.0,34.22880535279156,38.83375476301954,0.28400906324323844,0.052504867653591525
