model,snapshot,redshift,log10_M200c_center_Msun,log10_M200c_left_Msun,log10_M200c_right_Msun,log10_c200c_median,log10_c200c_p16,log10_c200c_p84,n_halos_bin,n_valid_snapshot,n_total_snapshot,source_file
PL,0048,1.07179686,9.1250000000e+00,9.0000000000e+00,9.2500000000e+00,9.1641062112e-01,7.1448838543e-01,1.0737156479e+00,20799,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.07179686,9.3750000000e+00,9.2500000000e+00,9.5000000000e+00,9.0270261197e-01,7.0239363381e-01,1.0559446007e+00,12329,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.07179686,9.6250000000e+00,9.5000000000e+00,9.7500000000e+00,8.9675853092e-01,6.9797895348e-01,1.0409439246e+00,7331,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.07179686,9.8750000000e+00,9.7500000000e+00,1.0000000000e+01,8.8780941904e-01,6.8627555204e-01,1.0314731167e+00,4298,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.07179686,1.0125000000e+01,1.0000000000e+01,1.0250000000e+01,8.6145994290e-01,6.6022279019e-01,1.0033172909e+00,2625,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.07179686,1.0375000000e+01,1.0250000000e+01,1.0500000000e+01,8.4569571268e-01,6.3701654589e-01,9.7739217166e-01,1534,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.07179686,1.0625000000e+01,1.0500000000e+01,1.0750000000e+01,8.3131204589e-01,6.1338497845e-01,9.6710421338e-01,873,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.07179686,1.0875000000e+01,1.0750000000e+01,1.1000000000e+01,8.0230907194e-01,6.0360056655e-01,9.3732022847e-01,515,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.07179686,1.1125000000e+01,1.1000000000e+01,1.1250000000e+01,7.9823244693e-01,5.8569348640e-01,9.2574367019e-01,313,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.07179686,1.1375000000e+01,1.1250000000e+01,1.1500000000e+01,7.7631744841e-01,5.8158277042e-01,9.1085525936e-01,186,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.07179686,1.1625000000e+01,1.1500000000e+01,1.1750000000e+01,7.4000855642e-01,5.4777747210e-01,8.5279273903e-01,94,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.07179686,1.1875000000e+01,1.1750000000e+01,1.2000000000e+01,6.8545511839e-01,4.4497780959e-01,8.9174726506e-01,64,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
