model,snapshot,redshift,log10_M200c_center_Msun,log10_c200c_p16,log10_c200c_p84,sigma_68_log10_c,n_halos_bin,source_file
PL,0048,1.0717968600e+00,8.3750000000e+00,6.4000360427e-01,1.1044861878e+00,2.3224129177e-01,84037,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.0717968600e+00,8.6250000000e+00,6.8443520274e-01,1.1015494319e+00,2.0855711458e-01,58818,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.0717968600e+00,8.8750000000e+00,7.0415535909e-01,1.0888788930e+00,1.9236176695e-01,35440,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.0717968600e+00,9.1250000000e+00,7.1448838543e-01,1.0737156479e+00,1.7961363124e-01,20799,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.0717968600e+00,9.3750000000e+00,7.0239363381e-01,1.0559446007e+00,1.7677548344e-01,12329,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.0717968600e+00,9.6250000000e+00,6.9797895348e-01,1.0409439246e+00,1.7148248556e-01,7331,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.0717968600e+00,9.8750000000e+00,6.8627555204e-01,1.0314731167e+00,1.7259878233e-01,4298,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.0717968600e+00,1.0125000000e+01,6.6022279019e-01,1.0033172909e+00,1.7154725036e-01,2625,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.0717968600e+00,1.0375000000e+01,6.3701654589e-01,9.7739217166e-01,1.7018781289e-01,1534,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.0717968600e+00,1.0625000000e+01,6.1338497845e-01,9.6710421338e-01,1.7685961747e-01,873,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.0717968600e+00,1.0875000000e+01,6.0360056655e-01,9.3732022847e-01,1.6685983096e-01,515,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.0717968600e+00,1.1125000000e+01,5.8569348640e-01,9.2574367019e-01,1.7002509190e-01,313,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.0717968600e+00,1.1375000000e+01,5.8158277042e-01,9.1085525936e-01,1.6463624447e-01,186,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.0717968600e+00,1.1625000000e+01,5.4777747210e-01,8.5279273903e-01,1.5250763346e-01,94,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
