model,target_mass_Msun,profile_type,r_over_R200,rho_h2_Msun_kpc_minus3,source_file
PL,1.0000000000e+08,mean_c_nfw,1.4174741629e-01,5.4368016844e+05,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,1.4849682623e-01,4.8068847844e+05,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,1.5556761439e-01,4.2473202891e+05,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,1.6297508346e-01,3.7506412580e+05,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,1.7073526475e-01,3.3101166437e+05,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,1.7886495291e-01,2.9196867746e+05,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,1.8738174229e-01,2.5739033885e+05,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,1.9630406500e-01,2.2678740474e+05,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,2.0565123083e-01,1.9972107486e+05,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,2.1544346900e-01,1.7579825324e+05,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,2.2570197196e-01,1.5466718839e+05,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,2.3644894126e-01,1.3601347163e+05,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,2.4770763560e-01,1.1955637243e+05,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,2.5950242114e-01,1.0504548968e+05,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,2.7185882427e-01,9.2257697817e+04,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,2.8480358684e-01,8.0994367522e+04,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,2.9836472403e-01,7.1078841036e+04,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,3.1257158497e-01,6.2354143048e+04,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,3.2745491629e-01,5.4680908781e+04,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,3.4304692863e-01,4.7935511866e+04,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,3.5938136638e-01,4.2008375478e+04,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,3.7649358068e-01,3.6802451170e+04,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,3.9442060594e-01,3.2231850813e+04,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,4.1320124001e-01,2.8220617984e+04,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,4.3287612811e-01,2.4701626123e+04,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,4.5348785081e-01,2.1615591672e+04,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,4.7508101621e-01,1.8910191328e+04,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,4.9770235643e-01,1.6539273370e+04,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,5.2140082880e-01,1.4462153877e+04,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,5.4622772177e-01,1.2642989378e+04,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,5.7223676594e-01,1.1050218249e+04,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,5.9948425032e-01,9.6560638201e+03,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,6.2802914418e-01,8.4360928197e+03,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,6.5793322466e-01,7.3688233566e+03,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,6.8926121043e-01,6.4353771963e+03,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,7.2208090184e-01,5.6191715950e+03,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,7.5646332755e-01,4.9056464143e+03,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,7.9248289835e-01,4.2820226704e+03,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
